Sample Number,Follow Number,Date_Collected,Who_Collected,Time_Collected,Cold_Thermos,Dirt_Fecal,First_Urine_Day,CAMP/LAB_specgravitymeter,Site,Species,Age_Class,8OHdG_Result,tblAnalysis_8-OHdG.CV,tblAnalysis_8-OHdG.Status,TAC_Result,tblAnalysis_TAC.CV,tblAnalysis_TAC.Status,Neopterin_Result,tblAnalysis_Neopterin.CV,tblAnalysis_Neopterin.Status,Cortisol_Result,tblAnalysis_Cortisol.CV,tblAnalysis_Cortisol.Status
675,6480,11-Aug-14,Idun,4:52:00 AM,TRUE,FALSE,TRUE,1.014,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,26.695,0.6,ok,,,,263.523,6.4,ok,40436.61,12.7,ok
674,6476,10-Aug-14,Alysse,11:09:00 AM,FALSE,FALSE,FALSE,1.002,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,,,,,,,,,,7796.769,1.2,ok
673,6471,8-Aug-14,Alysse,1:59:00 PM,FALSE,TRUE,FALSE,1.032,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,,,,,,,1009.158,2.1,ok,61781.948,26.8,rerun
672,6471,8-Aug-14,Abuk,5:32:00 AM,FALSE,FALSE,TRUE,1.022,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,9.52,1.5,ok,,,,421.156,1.7,ok,64602.15,13.3,ok
671,6469,7-Aug-14,Abuk,5:12:00 AM,TRUE,FALSE,TRUE,1.024,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,3.236,3.9,ok,3.128,0.7,ok,455.416,3.6,ok,45290.06,6.2,ok
670,6467,6-Aug-14,Alysse,10:15:00 AM,TRUE,TRUE,FALSE,1.028,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,,,,,,,,,,112776.2,1.9,ok
669,6463,4-Aug-14,Sonja,5:15:00 AM,FALSE,FALSE,TRUE,1.021,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,9.082,0.3,ok,2.552,1.7,ok,216.957,5.3,ok,27070.9,13.7,ok
668,6461,3-Aug-14,Yann,5:00:00 AM,TRUE,FALSE,TRUE,1.034,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,12.078,4.2,ok,,,,334.369,6,ok,84005.417,13.2,ok
667,6441,24-Jul-14,Anuk,7:38:00 AM,TRUE,TRUE,FALSE,1.029,Tuanan,Pongo pygmaeus wurmbii,dependent immature non-clinging infant (4yrs-weaned),,,,,,,602.728,7.1,ok,,,
666,6438,23-Jul-14,Alysse,2:42:00 PM,TRUE,TRUE,FALSE,1.043,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,,,,,,,,,,,,
