sample_number,follow_number,Date_Collected,month,year,Who_Collected,Time_Collected,Orangutan_ID,ID_correction,class,flanged_since,known_birth_yr,known_birth_months,known_age_in_months,next_sib_birth_yr,next_sib_birth_month,last_inf_yr,last_inf_month,next_inf_yr,next_inf_mo,known_offspring,known_num_offspring,estim_birth,estim_age_years,age_class,comment
2,9999,24-Jan-09,1,2009,Nadine,5:00:00 AM,Kondor,Kondor,local offspring,,,,,2007,1,,,,,,,1998,11,,
1,3184,11-Feb-09,2,2009,Sofi,7:29:00 AM,Preman,Preman,flanged,2008,,,,,,,,,,,,<1983,26,young flanged,
3,3265,31-Mar-09,3,2009,Idun,5:11:00 AM,Milo,Milo,local offspring,,,,,2008,7,,,,,,,2001,8,,
17,3454,8-Jun-09,6,2009,Idun,5:13:00 AM,Kerry,Kerry,parous female,,,,,,,2007,1,,,FM,2,c.1980,29,,
18,3457,9-Jun-09,6,2009,Idun,5:35:00 AM,Mindy,Mindy,parous female,,,,,,,2008,7,,,FF,2,c.1986,23,,
27,3496,1-Jul-09,7,2009,Idun,10:06:00 AM,Desy,Desy,parous female,,,,,,,2004,7,2010,7,M,1,1990,19,,
52,3611,11-Oct-09,10,2009,Idun,5:12:00 AM,Juni,Juni,parous female,,,,,,,2006,2,,,M,1,c.1992,17,,
54,3615,18-Oct-09,10,2009,Idun,12:18:00 PM,Desy,Desy,parous female,,,,,,,2004,7,2010,7,M,1,1990,19,,
62,3628,29-Oct-09,10,2009,Idun,12:07:00 PM,Kerry,Kerry,parous female,,,,,,,2007,1,,,FM,2,c.1980,29,,
75,3638,1-Nov-09,11,2009,Neneng,4:49:00 AM,Kondor,Kondor,local offspring,,,,,2007,1,,,,,,,1998,11,,
78,3644,3-Nov-09,11,2009,Idun,8:56:00 AM,Kondor,Kondor,local offspring,,,,,2007,1,,,,,,,1998,11,,
85,3647,4-Nov-09,11,2009,Idun,5:01:00 AM,Kerry,Kerry,parous female,,,,,,,2007,1,,,FM,2,c.1980,29,,
86,9999,5-Nov-09,11,2009,Idun,5:13:00 AM,Kerry,Kerry,parous female,,,,,,,2007,1,,,FM,2,c.1980,29,,
88,3651,6-Nov-09,11,2009,Neneng,9:55:00 AM,Kondor,Kondor,local offspring,,,,,2007,1,,,,,,,1998,11,,
95,3688,22-Nov-09,11,2009,Lya,3:24:00 PM,MindyMawas,Mindy,parous female,,,,,,,2008,7,,,FFF,3,c.1986,23,,"assume sample  from Mindy, not Mawas?"
106,3730,7-Dec-09,12,2009,Lya,3:27:00 PM,Kondor,Kondor,local offspring,,,,,2007,1,,,,,,,1998,11,,
126,3781,13-Jan-10,1,2010,Rahmatd,5:13:00 AM,Kondor,Kondor,local adolescent,,,,,,,,,,,,,1998,12,,
129,3788,15-Jan-10,1,2010,Lya,5:18:00 AM,Mindy,Mindy,parous female,,,,,,,2008,7,,,FF,2,c.1986,24,,
135,3790,16-Jan-10,1,2010,Bunga,5:22:00 AM,Milo,Milo,local offspring,,,,,2008,7,,,,,,,2001,9,,
134,3792,16-Jan-10,1,2010,Lya,5:15:00 AM,Mindy,Mindy,parous female,,,,,,,2008,7,,,FF,2,c.1986,24,,
138,3795,17-Jan-10,1,2010,Bunga,5:29:00 AM,Kondor,Kondor,local adolescent,,,,,,,,,,,,,1998,12,,
147,3805,20-Jan-10,1,2010,Lya,5:33:00 AM,Juni,Juni,parous female,,,,,,,2006,2,,,M,1,c.1992,18,,
150,3811,23-Jan-10,1,2010,Rahmatd,12:51:00 PM,Kondor,Kondor,local adolescent,,,,,,,,,,,,,1998,12,,
267,4636,15-Oct-11,10,2011,Idun,4:49:00 AM,Kondor,Kondor,nulliparous female,,,,,,,,,,,,,1998,13,,early pregnancy
