"follow_number","date","year","month","day","name_focal","class_focal","sex_focal","age_category","follow_type","length_active_period_min","ap_kcal","prev_day_ap_kcal","lipid_kcal","prev_day_lipid_kcal","tnc_kcal","prev_day_tnc_kcal","ndf_kcal_low","prev_day_ndf_kcal_low","total_kcal_using_ap_low_fermentation","prev_day_total_kcal_using_ap_low_fermentation","total_kcal_npe_low_fermentation","prev_day_total_kcal_npe_low_fermentation","npe_to_ap","lipid_to_ap","lipid_to_tnc","lipid_to_ndf_low","tnc_to_ap","tnc_to_ndf_low","ap_to_ndf_low","percent_ap","percent_lipid","percent_ndf_low","percent_tnc","fai","hi_low_quartile","fruit_category_quartiles"
1387,2005-12-13,2005,12,13,"Adik Niko","adult_flanged_male","male","adult","N-N",628,290.628683805893,NA,256.816727979382,NA,3030.64492477785,NA,543.301607793527,NA,4121.39194435666,NA,3830.76326055076,NA,13.1809538218509,0.883659261075919,0.0847399594323002,0.472696425512845,10.4278933692656,5.57819980891646,0.534930652950214,7.0517118422538,6.2313104758463,13.1824785200898,73.5344991618101,11.94225722,"high","high"
1388,2005-12-14,2005,12,14,"Adik Niko","adult_flanged_male","male","adult","N-N",760,190.08810993851,290.628683805893,172.72278738282,256.816727979382,2120.9186120032,3030.64492477785,263.203828236096,543.301607793527,2746.93333756063,4121.39194435666,2556.84522762212,3830.76326055076,13.4508424985088,0.908645929714872,0.0814377253352896,0.656232048524334,11.1575553709765,8.05808420879319,0.72220875817961,6.92001175781408,6.28784051731682,9.58173336924987,77.2104143556192,11.94225722,"high","high"
7551,2015-12-09,2015,12,9,"Anton","adult_unflanged_male","male","adult","N-N",742,482.504015588236,NA,188.728190135065,NA,2654.85626377438,NA,182.22179310929,NA,3508.31026260697,NA,3025.80624701873,NA,6.2710488395208,0.39114325277683,0.0710879126340166,1.03570592142002,5.50224698241684,14.5693674640886,2.64789412591746,13.7531740202959,5.37946122230432,5.19400450557312,75.6733602518267,3.225806452,"low","medium"
7553,2015-12-10,2015,12,10,"Anton","adult_unflanged_male","male","adult","N-N",500,356.948600578338,482.504015588236,78.2980159282217,188.728190135065,2534.25074167143,2654.85626377438,152.389607409892,182.22179310929,3121.88696558788,3508.31026260697,2764.93836500954,3025.80624701873,7.74604063590587,0.219353755138306,0.0308959230595239,0.51380154630636,7.09976376869208,16.6300759267323,2.34234214947631,11.4337451840163,2.50803494140851,4.88133007663831,81.1768897979369,3.225806452,"low","medium"
7556,2015-12-11,2015,12,11,"Anton","adult_unflanged_male","male","adult","N-N",726,474.967834767513,356.948600578338,143.710062405085,78.2980159282217,2543.12448540294,2534.25074167143,180.447836882323,152.389607409892,3342.25021945786,3121.88696558788,2867.28238469035,2764.93836500954,6.03679275691126,0.302567988578485,0.0565092519968855,0.796407786804356,5.35430885893093,14.0934052152778,2.63216142112724,14.2110196298994,4.29979962506803,5.39899244622066,76.0901882988119,3.225806452,"low","medium"
7559,2015-12-12,2015,12,12,"Anton","adult_unflanged_male","male","adult","N-N",690,562.91979829915,474.967834767513,1237.41560729708,143.710062405085,4002.35612033688,2543.12448540294,462.730109670785,180.447836882323,6265.4216356039,3342.25021945786,5702.50183730475,2867.28238469035,10.1302207784035,2.19820942705498,0.309171790338569,2.67416271696142,7.10999352381976,8.64943956896258,1.21651862832018,8.98454774536323,19.749917551683,7.38545841897174,63.880076283982,3.225806452,"low","medium"
7602,2016-01-04,2016,1,4,"Anton","adult_unflanged_male","male","adult","N-N",720,630.175515355093,NA,124.218750817528,NA,5331.82754133802,NA,281.396861555978,NA,6367.61866906662,NA,5737.44315371153,NA,9.10451614496412,0.197117704180451,0.0232975935276323,0.441436162900551,8.46086115918615,18.9477150237419,2.23945466865036,9.89656491863174,1.95078815603348,4.41918519591918,83.7334617294156,2.369806905,"low","low"
7603,2016-01-05,2016,1,5,"Anton","adult_unflanged_male","male","adult","N-N",766,631.091375221949,630.175515355093,107.42374320918,124.218750817528,5339.74574843247,5331.82754133802,265.065288990413,281.396861555978,6343.32615585401,6367.61866906662,5712.23478063206,5737.44315371153,9.05135928790521,0.170219000650104,0.0201177637045201,0.405272767393792,8.4611293357551,20.145020756096,2.38089029923784,9.94890314191932,1.69349235038218,4.17864827501885,84.1789562326797,2.369806905,"low","low"
7605,2016-01-06,2016,1,6,"Anton","adult_unflanged_male","male","adult","N-N",660,542.50679255791,631.091375221949,127.842295644293,107.42374320918,4656.39752366579,5339.74574843247,255.701453885648,265.065288990413,5582.44806575364,6343.32615585401,5039.94127319573,5712.23478063206,9.2900980086028,0.235651050637576,0.0274551936329629,0.499967026786892,8.58311377395103,18.2102895893121,2.12164140764144,9.71808042220757,2.29007586167367,4.58045378790511,83.4113899282136,2.369806905,"low","low"
7607,2016-01-07,2016,1,7,"Anton","adult_unflanged_male","male","adult","N-N",692,558.162000742818,542.50679255791,81.9059708797564,127.842295644293,5043.33869528982,4656.39752366579,242.050608468223,255.701453885648,5925.45727538062,5582.44806575364,5367.2952746378,5039.94127319573,9.61601697624498,0.146742291253711,0.0162404263977455,0.338383660334856,9.03561813340572,20.8358852192347,2.30597230998531,9.41972871970399,1.38227257531774,4.08492707345823,85.11307163152,2.369806905,"low","low"
7609,2016-01-08,2016,1,8,"Anton","adult_unflanged_male","male","adult","N-N",686,706.444435502436,558.162000742818,115.278796151618,81.9059708797564,6098.28161513367,5043.33869528982,303.932152340973,242.050608468223,7223.9369991287,5925.45727538062,6517.49256362626,5367.2952746378,9.22576813700981,0.163181688974065,0.0189034884623135,0.379291217673771,8.6323584823716,20.0646149746348,2.32434913536195,9.77921645202115,1.59578905748378,4.20729239994246,84.4177020905526,2.369806905,"low","low"
8657,2017-01-12,2017,1,12,"Anton","adult_unflanged_male","male","adult","N-N",710,230.456083704246,NA,704.361968386203,NA,1793.04555498926,NA,301.022142417319,NA,3028.88574949703,NA,2798.42966579278,NA,12.143006254433,3.05638261774049,0.39282993475892,2.3399008549003,7.78042187547696,5.95652379785236,0.765578511446361,7.60860932910773,23.254821298663,9.93837890608142,59.1981904661479,2.173913043,"low","low"
8659,2017-01-13,2017,1,13,"Anton","adult_unflanged_male","male","adult","N-N",630,193.910686406417,230.456083704246,323.163123034004,704.361968386203,985.606491050499,1793.04555498926,170.262090879779,301.022142417319,1672.9423913707,3028.88574949703,1479.03170496428,2798.42966579278,7.62738625897278,1.66655654220463,0.327882502772038,1.89803332828907,5.08278583979002,5.78876064517749,1.13889524910942,11.5909960442534,19.3170502882186,10.1774031047344,58.9145505627936,2.173913043,"low","low"
