Biomarker,n_individuals,n_samples,predictor,beta,SE,CI_95,p,percentRE
8-OHdG,36,582,Intercept,2.82,0.06,2.71 - 2.94,< 0.001,6.92
8-OHdG,36,582,sex (M),-0.07,0.08,-0.32,0.401,6.92
8-OHdG,36,582,age,-0.1,0.05,-0.18,0.028,6.92
Isoprostanes,23,182,Intercept,1.34,0.13,1.08 - 1.6,< 0.001,18.46
Isoprostanes,23,182,sex (M),-0.05,0.19,-0.76,0.793,18.46
Isoprostanes,23,182,age,0.05,0.1,-0.38,0.606,18.46
MDA-TBARS,31,249,Intercept,2.59,0.07,2.45 - 2.72,< 0.001,6.53
MDA-TBARS,31,249,sex (M),-0.04,0.09,-0.35,0.692,6.53
MDA-TBARS,31,249,age,-0.01,0.04,-0.16,0.829,6.53
Neopterin,36,409,Intercept,6.97,0.06,6.84 - 7.09,< 0.001,8
Neopterin,36,409,sex (M),0.05,0.09,-0.36,0.562,8
Neopterin,36,409,age,-0.01,0.05,-0.18,0.831,8
TAC,31,295,Intercept,0.1,0.31,-1.2,0.741,14.97
TAC,31,295,sex (M),-0.32,0.47,-1.84,0.504,14.97
TAC,31,295,age,-0.02,0.24,-0.92,0.927,
